,ballot_number,ballot_name,sex,name,political_party,position,district
2,1,"DUTERTE, PAOLO (HTL)",MALE,"DUTERTE, PAOLO ZIMMERMAN","HUGPONG SA TAWONG
LUNGSOD",REPRESENTATIVE,1.0
3,2,"JABINES, JANETH (IND)",FEMALE,"JABINES, JANETH JONASAN",INDEPENDENT,REPRESENTATIVE,1.0
4,3,"LABIS, REX (IND)",MALE,"LABIS, REX MORALES",INDEPENDENT,REPRESENTATIVE,1.0
5,4,"MAGLANA, MAGS (IND)",FEMALE,"MAGLANA, MARIA VICTORIA ZAFRA",INDEPENDENT,REPRESENTATIVE,1.0
6,5,"NOGRALES, MIGS (IND)",FEMALE,"NOGRALES, MARGARITA IGNACIA
BENDIGO",INDEPENDENT,REPRESENTATIVE,1.0
9,1,"CAMPOS, JAVI GARCIA (PFP)",MALE,"CAMPOS, AUGUSTO JAVIER III GARCIA",PARTIDO FEDERAL NG PILIPINAS,REPRESENTATIVE,2.0
10,2,"DUTERTE, OMAR (HTL)",MALE,"DUTERTE, OMAR VINCENT SANGKOLA","HUGPONG SA TAWONG
LUNGSOD",REPRESENTATIVE,2.0
11,3,"MONTESCLAROS, MELOGEN
(IND)",FEMALE,"MONTESCLAROS, MELOGEN LIGUTOM",INDEPENDENT,REPRESENTATIVE,2.0
14,1,"AL-AG, NONOY (LAKAS)",MALE,"AL-AG, WILBERTO ECHAVEZ","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",REPRESENTATIVE,3.0
15,2,"LOPEZ, RUY ELIAS (PFP)",MALE,"LOPEZ, RUY ELIAS CONCEPCION",PARTIDO FEDERAL NG PILIPINAS,REPRESENTATIVE,3.0
16,3,"MONREAL, LITO (IND)",MALE,"MONREAL, LITO DAHINES",INDEPENDENT,REPRESENTATIVE,3.0
17,4,"PLAZA, DINDO (IND)",MALE,"PLAZA, DINDO ROBERT GO",INDEPENDENT,REPRESENTATIVE,3.0
18,5,"UNGAB, ISIDRO (HTL)",MALE,"UNGAB, ISIDRO TOM","HUGPONG SA TAWONG
LUNGSOD",REPRESENTATIVE,3.0
21,1,"CUBOS, BISHOP ROD (IND)",MALE,"CUBOS, RODOLFO ATENEN",INDEPENDENT,MAYOR,
22,2,"DUTERTE, RODY (HTL)",MALE,"DUTERTE, RODRIGO ROA","HUGPONG SA TAWONG
LUNGSOD",MAYOR,
23,3,"JULAINE, JONATHAN (WPPLPP)",MALE,"JULAINE, JONATHAN MENDOZA","WORKERS AND PEASANTS
PARTY",MAYOR,
26,4,"NOGRALES, KARLO ALEXEI
(IND)",MALE,"NOGRALES, KARLO ALEXEI BENDIGO",INDEPENDENT,MAYOR,
27,5,"TAN, JOSELITO (IND)",MALE,"TAN, JOSELITO UY",INDEPENDENT,MAYOR,
30,1,"AL-AG, BERNIE (IND)",MALE,"AL-AG, BERNARD ECHAVEZ",INDEPENDENT,VICE-MAYOR,
31,2,"ALCEBAR, MARCOS (IND)",MALE,"ALCEBAR, RICHARD ANTONIO",INDEPENDENT,VICE-MAYOR,
32,3,"DUTERTE, BASTE (HTL)",MALE,"DUTERTE, SEBASTIAN ZIMMERMAN","HUGPONG SA TAWONG
LUNGSOD",VICE-MAYOR,
33,4,"SORIANO-BARCENA, OYIE (IND)",FEMALE,"BARCENA, RHODORA SORIANO",INDEPENDENT,VICE-MAYOR,
36,1,"ABELLERA, NILO JR. (PFP)",MALE,"ABELLERA, NILO JR. MALIG",PARTIDO FEDERAL NG PILIPINAS,COUNCILOR,1.0
37,2,"ACOSTA, ATTY. LUNA (HNP)",FEMALE,"ACOSTA-MANLITOC, LUNA MARIA
DOMINIQUE SUNGA","HUGPONG NG PAGBABAGO
PARTY",COUNCILOR,1.0
38,3,"AGUINALDO, MARY JANE (IND)",FEMALE,"AGUINALDO, MARY JANE
CAMPOMANES",INDEPENDENT,COUNCILOR,1.0
39,4,"AL-AG, CHERRY (IND)",FEMALE,"AL-AG, CHERRY FAYE BANQUIL",INDEPENDENT,COUNCILOR,1.0
40,5,"BONGUYAN, COOKIE (HTL)",FEMALE,"BONGUYAN, JESSICA MENDOZA","HUGPONG SA TAWONG
LUNGSOD",COUNCILOR,1.0
41,6,"CORSINO, TJ (HTL)",MALE,"CORSINO, THRISTAN JOSHUA BRAGA","HUGPONG SA TAWONG
LUNGSOD",COUNCILOR,1.0
42,7,"CUBOS, ARCHIE (IND)",MALE,"CUBOS, ARCHIE ZAMORA",INDEPENDENT,COUNCILOR,1.0
43,8,"CUBOS-MARTIREZ, KARIZ (IND)",FEMALE,"MARTIREZ, KARIZ AYAH CUBOS",INDEPENDENT,COUNCILOR,1.0
44,9,"DULLA, JEN-JEN (IND)",FEMALE,"DULLA, JASILLE BANA-AY",INDEPENDENT,COUNCILOR,1.0
45,10,"DUTERTE, RODRIGO II (HTL)",MALE,"DUTERTE, RODRIGO II SANGKOLA","HUGPONG SA TAWONG
LUNGSOD",COUNCILOR,1.0
46,11,"GALOPE, PRISCILLA (LAKAS)",FEMALE,"ALBARRACIN, PRISCILLA GALOPE","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",COUNCILOR,1.0
47,12,"GONZALES, FRANZ (IND)",MALE,"GONZALES, FRANCIS LOMOTOS",INDEPENDENT,COUNCILOR,1.0
48,13,"IBUYAN, RAGDE NIÑO (HTL)",MALE,"IBUYAN, RAGDE NIÑO PONCE","HUGPONG SA TAWONG
LUNGSOD",COUNCILOR,1.0
51,14,"JABINES, PASTOR OJENG (IND)",MALE,"JABINES, ROGELIO FLORES",INDEPENDENT,COUNCILOR,1.0
52,15,"JAVIER, BONG (IND)",MALE,"JAVIER, MARKOPER POLICHER",INDEPENDENT,COUNCILOR,1.0
53,16,"LIBRADO, PAMENG (HTL)",FEMALE,"LIBRADO, PAMELA ALONSABE","HUGPONG SA TAWONG
LUNGSOD",COUNCILOR,1.0
54,17,"LIPARANON, EKING(LAKAS)",MALE,"LIPARANON, RICKY ESCUDERO","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",COUNCILOR,1.0
55,18,"MILITAR, BONZ (HTL)",MALE,"MILITAR, BONZ ANDRE ABRASALDO","HUGPONG SA TAWONG
LUNGSOD",COUNCILOR,1.0
56,19,"OCAMPO, TEK (HTL)",MALE,"OCAMPO, TEMUJIN BUKASAN","HUGPONG SA TAWONG
LUNGSOD",COUNCILOR,1.0
57,20,"QUITAIN, J. MELCHOR JR. (HTL)",MALE,"QUITAIN, J. MELCHOR JR. BUMPUS","HUGPONG SA TAWONG
LUNGSOD",COUNCILOR,1.0
58,21,"ROY, ALVIN (IND)",MALE,"ROY, ALVIN TALINGTING",INDEPENDENT,COUNCILOR,1.0
59,22,"SABES, ANTONETTE (IND)",FEMALE,"SABES, ANTONETTE ARILLA",INDEPENDENT,COUNCILOR,1.0
60,23,"VILLASIS, BITOY (IND)",MALE,"VILLASIS, GILBERT QUIMCO",INDEPENDENT,COUNCILOR,1.0
63,1,"ABELLA, RALPH (PDPLBN)",MALE,"ABELLA, RALPH OPSIMA","PARTIDO DEMOKRATIKO
PILIPINO LAKAS NG BAYAN",COUNCILOR,2.0
64,2,"ABRENICA, MARY CRYSTEL
(IND)",FEMALE,"ABRENICA, MARY CRYSTEL ISAIS",INDEPENDENT,COUNCILOR,2.0
65,3,"ALEJANDRE, AL RYAN (HTL)",MALE,"ALEJANDRE, AL RYAN SUMICAD","HUGPONG SA TAWONG
LUNGSOD",COUNCILOR,2.0
